id	filename	md5	size	state
6c2750fe-530d-44a5-9a21-839ba75d985e	0e3a446a-4ee8-4f45-ae16-67f1a8c6a3bd.rna_seq.augmented_star_gene_counts.tsv	71f18ec26a619f6b4b174da08eb07a27	4236262	released
38b11bba-e93d-465b-b04a-927e48341ff0	fa44a5ba-3cf9-4bc0-b816-dc787f75b869.rna_seq.augmented_star_gene_counts.tsv	4c37959f4c7bc4592c147ae0c1313875	4228154	released
ad9e9cb3-e564-4902-a227-40336769913f	db9ea6d1-dff0-41ca-80cf-b890e67242bd.rna_seq.augmented_star_gene_counts.tsv	bf09ca7267eb0b0c017f08e4f1c52983	4227948	released
6c99a071-64a7-407e-837f-8b38a1a63c13	4949d3de-d215-4d58-9ce1-b440ae802286.rna_seq.augmented_star_gene_counts.tsv	55c0db128b37b3230a8a963238538df4	4231510	released
bd22d4ba-a576-42a6-9fa2-a50657db7c14	4e0e8b07-e9c6-44cd-bff4-f813fc45a3f5.rna_seq.augmented_star_gene_counts.tsv	164b17cdbf77198fe53f3f9663ba12d1	4232354	released
82c310bb-80f3-4c8c-a971-6fa3f4080946	84e5be7a-ba48-4c9e-9832-d93530662cc6.rna_seq.augmented_star_gene_counts.tsv	c4c64ce6cfca9ed349e83eca7b059259	4225140	released
1f96573a-6a07-4a78-b846-4907724c8fc0	6c3b2db1-8a86-422f-8567-1328345be457.rna_seq.augmented_star_gene_counts.tsv	c4dc676265b417d1cbaca834871efb5c	4236880	released
6a1f7666-0c06-4d06-bfe9-5e3a4979a17f	11302073-0f4b-4cc0-b7e0-3f588a5ddecb.rna_seq.augmented_star_gene_counts.tsv	826ff9de13e03abca7ae8d915b1f5fb0	4229316	released
8e6340fd-6154-4a0b-9eef-3934dd6ec18e	42403e41-15b4-4a16-9c3a-d38751729176.rna_seq.augmented_star_gene_counts.tsv	018ffa38d5bce8140ed323d2d17492fb	4243101	released
76edf649-9ae5-41e6-ac2c-197fb5fc9760	21c41b6d-47ba-462d-bab6-b12792779020.rna_seq.augmented_star_gene_counts.tsv	2c5a815ac3b871968c0af675bb222c9e	4230823	released
26feb4a7-002a-46de-81ba-40b18afe2cfc	bc79f5b3-0a60-4468-a719-1a30a49bbd75.rna_seq.augmented_star_gene_counts.tsv	5d733346ae35261690382988ac1e9e3e	4235235	released
518dabee-5f9f-4e28-b734-562c41f9615e	bd6344b2-bc0c-4787-a1ad-145522dc8df9.rna_seq.augmented_star_gene_counts.tsv	6adb8c2fb3c2347452ee7fee68869ae4	4237600	released
1b4213b1-729a-4776-9ef0-ba6dc15ce96b	baf70b5d-6ab4-4c34-af36-e09b9bd0f372.rna_seq.augmented_star_gene_counts.tsv	bc64e2fb304153a81467c52abc33c02f	4236070	released
b79b0145-e672-450d-a973-28c698f3fa03	5c5e9659-5010-4acf-b5a5-bb184bc495bc.rna_seq.augmented_star_gene_counts.tsv	28b4e1961c45b221673d86ed68e0bc5b	4244264	released
ee5ca582-7eab-4a61-bc40-6cf4af390004	c8a487ef-9ccd-423d-801c-fcc3ec490632.rna_seq.augmented_star_gene_counts.tsv	1c9396db4c51157259e08697b9ccdaed	4238587	released
0ba182bb-6f71-4648-bca3-26185d3d08eb	c7b3d94d-9e9e-47d3-90e7-fc86ef5d5975.rna_seq.augmented_star_gene_counts.tsv	ae5448140b0b6082b65ebe65d5ec72df	4231087	released
9f148e41-6dcf-4832-a229-8783b5e9f747	7a6037ab-a49f-4469-8ec4-f6ff52a6e59a.rna_seq.augmented_star_gene_counts.tsv	95a4addc454989adced7da5c401ef86f	4238323	released
ec95a8df-d3f9-432d-af86-d5be5b697634	26b67dc4-ea6e-4680-909c-49617b8ddf0f.rna_seq.augmented_star_gene_counts.tsv	feb1878fb95113e3e235429e35d536cc	4231268	released
f24cdde4-9bd2-4cd8-ab7f-7d20776f063e	e453ca55-fabb-4b24-87b9-364dae2beda9.rna_seq.augmented_star_gene_counts.tsv	427cd8e1610c82a3b0fcfc44c0b72aee	4245631	released
1b3c069d-4c53-4fac-b78f-d14d976c696c	fc109d68-5678-4ba3-b531-3b1e36caf641.rna_seq.augmented_star_gene_counts.tsv	22057818d326228df5edc491682be900	4224178	released
4c32902f-2524-4f84-a061-72d83d798564	633adc3c-31ab-4588-b469-090e1442117d.rna_seq.augmented_star_gene_counts.tsv	37835504e758b13fe37515c3715bc858	4227408	released
4c2a4d47-67dd-4c12-8f3b-1c55eb6fd00e	c6bf25d8-abea-411f-bb80-6e6fefb82757.rna_seq.augmented_star_gene_counts.tsv	f895fefd4930b04b87c8e4ea8b1c598a	4233205	released
0e6fc8f1-34ca-4f3b-9d71-5a867e5efb07	4b6c958a-7e20-4b88-b30a-2406b123c8c1.rna_seq.augmented_star_gene_counts.tsv	022f28a4f04b559648f8f5f06bc13c55	4254329	released
3604ee2d-3fdc-40fa-95ab-a3f420334ac5	7ecd6087-9663-4d9d-828d-d9e9b5241c3c.rna_seq.augmented_star_gene_counts.tsv	e54ee6eb012e144e17a1dc46f773e1dd	4223513	released
371fd35f-eb3c-4346-8197-8ecf4c9ce220	27266d85-3f2c-489f-9e5d-663d94ae9f55.rna_seq.augmented_star_gene_counts.tsv	c470529c2f24cb343aa091a3830e091b	4244098	released
1529d8e6-10d2-4e7c-bfb1-66820434c835	40386f32-719d-480f-9ba7-57e1eea23b30.rna_seq.augmented_star_gene_counts.tsv	017185517e6f67b97f45eb2f0df21e2e	4217734	released
8e510682-b05c-4792-a149-d713db6d082d	fbb4d953-39c3-4e94-a99c-a8927421709e.rna_seq.augmented_star_gene_counts.tsv	d891688f21082475033c26e298d59b7c	4231087	released
929473bf-434c-438e-b16c-c34bfb0b98ea	cbf298e2-94bb-48c9-ae07-408081055497.rna_seq.augmented_star_gene_counts.tsv	3a173e4bcea95466609b76c19454dc83	4225602	released
03680aea-84a2-4775-bb9c-24f8c5907247	0a4e0b83-7afa-475b-8586-e9e79e31d6d2.rna_seq.augmented_star_gene_counts.tsv	06d101f59bf8eae8dd11581cea5894b9	4234605	released
269a7c8d-f4d6-4f1a-a85b-874934f214b9	75eaaf2c-7cd9-416d-88c0-7c5502db9ab5.rna_seq.augmented_star_gene_counts.tsv	2fd721554185bc4cff98277c0b4138a5	4216676	released
3c421a7f-8bde-4b4b-90e5-cf0ea11274ab	fbd81adc-aa56-4cde-b1f2-e749e2cbf653.rna_seq.augmented_star_gene_counts.tsv	9ea84591cfd8c515b09154818d1f2d2d	4237424	released
3d08a99f-46c1-4e06-a042-521a54ebbe1e	02f6c9d4-8296-4e00-9e78-4f4d8c942340.rna_seq.augmented_star_gene_counts.tsv	ac1df830521fd8fc154b3a640bed941c	4226383	released
3f474548-c7b2-4d5e-9f8d-03c800a094fe	3db0576d-969f-4cb6-9e5d-51407b953ef4.rna_seq.augmented_star_gene_counts.tsv	d80b1ad9d5dc15ab9a94d1d713c0e802	4266272	released
ad6ae9d2-c6f5-4686-9b3c-45ea130493f3	2fde57cd-97d2-492d-b37d-a4e2d43239cf.rna_seq.augmented_star_gene_counts.tsv	526f83fd0fa0a2130fd04c8103af23f5	4223654	released
24fa0c9f-c679-486d-846a-66fbc8d30b0a	32248a54-89ad-43a3-aa20-1c1897cb0054.rna_seq.augmented_star_gene_counts.tsv	01bfbc4564724c456574a17a4da19615	4258725	released
efc4983d-f573-4996-bf5c-5aaa1aafd730	e38af20a-f4f2-40dc-82c0-69782f9192d7.rna_seq.augmented_star_gene_counts.tsv	90fb3e95ff4f98f566dc67ea2b9739ae	4247266	released
477d7181-e081-4577-ac06-e508b1239989	3d006e45-8ebf-4ba1-b003-13b711c0d0ee.rna_seq.augmented_star_gene_counts.tsv	b4220339c29454ed50944a54145dda85	4242981	released
beb3712d-76e3-4c3a-becb-c94048ea8a7f	7977a11b-246f-4c4c-a200-ee35d2d51fc5.rna_seq.augmented_star_gene_counts.tsv	a5d8eb7381258193c120fe312b79ee56	4239333	released
15998b11-5041-4e2d-94d9-cf714c796c13	22d87348-bca7-4428-b8e2-2f161d77bcc5.rna_seq.augmented_star_gene_counts.tsv	3cdbc28b5bfcb065f57a3f4584ad6cec	4248837	released
c343f781-c1df-4349-aab3-f159329a11da	3a8b14d9-c521-48d4-9400-074d752afe1b.rna_seq.augmented_star_gene_counts.tsv	1b67c1145e085900d7878227a2aa6cec	4240611	released
db5e9553-ca85-4dcd-9229-2ac1ba208d52	57ae0185-984b-40a7-8d95-1a6a2cc0b03a.rna_seq.augmented_star_gene_counts.tsv	332a271e217e8309eb33d5f6a7774f29	4278768	released
9bf51961-c60a-43df-87eb-a64dae9e4e10	52beaa60-92f3-48cf-a695-78bb66ccd4f6.rna_seq.augmented_star_gene_counts.tsv	178a1bafa3baf212e8d0ac4e73c478ff	4245175	released
89bdfb20-8991-4bc4-b112-6e9be096b566	4f332295-b93c-48bf-8125-3a1539a03742.rna_seq.augmented_star_gene_counts.tsv	b0e63c739107c0d80a1045351c7b791a	4225793	released
bae501f3-c0ba-4646-8027-0623869176f4	c6fcbf56-bc49-43eb-981a-ef032465a7ce.rna_seq.augmented_star_gene_counts.tsv	c86025add8ba385b1c7ff06a77deb2f8	4227137	released
e98c7df6-1a65-41a0-9182-c752c89eafc7	01ebdef8-920f-4b71-8b44-512598962d6b.rna_seq.augmented_star_gene_counts.tsv	ce69c10f5a07fcfa46a19656605b17e4	4252280	released
e173308d-ac80-4c15-9b0e-e5cb09321a56	b99ff949-1922-4948-8d02-2ef2aa3dfb3b.rna_seq.augmented_star_gene_counts.tsv	125698e68f5d06c70df63593977e5607	4235077	released
89bf9c33-c1b4-4786-821f-802cf36eed43	2a53d9f7-430a-45c5-9171-8ee65dc560dd.rna_seq.augmented_star_gene_counts.tsv	e60e754c99194b675d97bbadf45cce3a	4242284	released
3973bbdc-bc07-4deb-955b-3c40e88a68be	c6b74844-5140-4c2e-b13d-fc50c2f2e9f1.rna_seq.augmented_star_gene_counts.tsv	70533535287e42cfa51abf1138826d6e	4232275	released
